text,class
I'm trying to return it for a refund.,0
"(It wasn't busy either) Also, the building was FREEZING cold.",0
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
Some highlights : Great quality nigiri here!,1
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
Hell no will I go back,0
"jabra ear gels ""R"" the best!.",1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
The voice recognition thru the handset is excellent.,1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
I LOVED it!,1
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
"It's a fresh, subtle, and rather sublime effect.  ",1
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0
"A must study for anyone interested in the ""worst sins"" of industrial design.",0
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
dont buy it.,0
"I found this move beautiful, enjoyable, and uplifting.  ",1
Disappointed with battery.,0
Adapter does not provide enough charging current.,0
"By the time the film ended, I not only disliked it, I despised it.  ",0
The screen does get smudged easily because it touches your ear and face.,0
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
"In summary, this was a largely disappointing dining experience.",0
Everything from acting to cinematography was solid.  ,1
"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
What this film lacks is a convincing script.  ,0
After a year the battery went completely dead on my headset.,0
poor voice clarity.,0
Improper description.... I had to return it.,0
DELICIOUS!!,1
For that price I can think of a few place I would have much rather gone.,0
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
I only hear garbage for audio.,0
The cashier was friendly and even brought the food out to me.,1
"I have used several phone in two years, but this one is the best.",1
Truly awful.,0
I got it because it was so small and adorable.,1
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.  ",1
The Foreigner is not worth one second of your time.  ,0
"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",1
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
Very well made and fits my Surefire GX2 perfectly.,1
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",1
We have tried 2 units and they both failed within 2 months.. Pros,0
Earbud piece breaks easily.,0
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0
I could care less... The interior is just beautiful.,1
It was way over fried.,0
Later I found myself lost in the power of the film.  ,1
And none of the tones is acceptable.,0
"It's a sad movie, but very good.  ",1
Do not waste your money here!,0
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
"The owner used to work at Nobu, so this place is really similar for half the price.",1
Left very frustrated.,0
"Looks great and is strong.""",1
Very Displeased.,0
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
Highly recommended A+  ,1
"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  ",1
Last time buying from you.,0
One of the few places in Phoenix that I would definately go back to again .,1
W810i is just SUPERB.,1
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
"I can barely ever hear on it and am constantly saying ""what?""",0
I think not again,0
But I definitely would not eat here again.,0
Gets a signal when other Verizon phones won't.,1
I had the chicken Pho and it tasted very bland.,0
"The decor is nice, and the piano music soundtrack is pleasant.",1
It is shameful.  ,0
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1
The sound quality is excellent as well.,1
Final Word: This Show is a real torture!!  ,0
Best headset ever!!!.,1
After all the rave reviews I couldn't wait to eat here......what a disappointment!,0
Go watch it!  ,1
A bit predictable.  ,0
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1
"This was a poor remake of ""My Best Friends Wedding"".  ",0
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,0
But I don't like it.,0
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
Food was average at best.,0
The company shipped my product very promptly and it works well.,1
Kind of hard to mess up a steak but they did.,0
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,1
Definitely worth checking out.  ,1
Waste of 13 bucks.,0
"Well packaged, arrived on time, and works as intended.",1
Obviously there is a problem with the adhesive.,0
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0
Having to humour him just to get by and get through the day was so apt.  ,1
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
It is very comfortable on the ear.,1
This results in the phone being either stuck at max volume or mute.,0
Their frozen margaritas are WAY too sugary for my taste.,0
I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
I don't like this Nokia either.,0
It was packed!!,0
"VERY cheap plastic, creaks like an old wooden floor.",0
"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  ",1
"Nice case, feels good in your hands.",1
I don't think you will be disappointed.  ,1
Don't buy this product - It fails!.,0
Setup went very smoothly.,1
I'm using it with an iriver SPINN (with case) and it fits fine.,1
They have great dinners.,1
Disappointing accessory from a good manufacturer.,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0
Great product and price.,1
Logitech Bluetooth Headset is a 10!.,1
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0
It is a true classic.  ,1
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1
This one is simply a disappointment.,0
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
Enough can not be said of the remarkable animation in this film.  ,1
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
If you want a sandwich just go to any Firehouse!!!!!,1
What a piece of junk.. I lose more calls on this phone.,0
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
Not too screamy not to masculine but just right.  ,1
"After 3 months, screen just went black all of a sudden.",0
Gets the job done.,1
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0
Great Hands Free Device.,1
Works for me.,1
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
Krussel Always good.,1
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0
There's barely a boring moment in the film and there are plenty of humorous parts.  ,1
Low Quality.,0
Used and dirty.,0
"However, here there was no decent acting, action or location work to balance things up.  ",0
Worst martini ever!,0
Their network coverage in Los Angeles is horrible.,0
I'm very disappointed with my decision.,0
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
Waitress was a little slow in service.,0
This device is great in several situations:1.),1
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
Is it possible for a movie to get any worse than this?  ,0
"It was an inexpensive piece, but I would still have expected better quality.",0
The football scenes at the end were perplexing.  ,0
I will not return.,0
Hands down my favorite Italian restaurant!,1
The only thing worse than Taylor's acting was Stanwyck's singing.  ,0
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
I didn't know pulled pork could be soooo delicious.,1
I did not expect this to be so good!,1
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0
Works great!.,1
It really created a unique feeling though.  ,1
The cow tongue and cheek tacos are amazing.,1
Everything was gross.,0
The croutons also taste homemade which is an extra plus.,1
I never walked out of a movie faster.  ,0
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0
GO AND SEE IT!  ,1
The refried beans that came with my meal were dried out and crusty and the food was bland.,0
Seller shipped quickly and much cheaper than the competitors.,1
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1
I cannot make calls at certain places.,0
About half way through this film I started to dislike it.  ,0
Editing: The editing of this film was phenomenal in my opinion.  ,1
This is hands down the best phone I've ever had.,1
Comfort for our whole family.,1
Good prices.,1
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1
"Worst service to boot, but that is the least of their worries.",0
The best electronics of the available FM Transmitters.,1
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
"Then our food came out, disappointment ensued.",0
Will order from them again!,1
"The real killer is the volume, and of course it breaking.",0
Good audio quality.,1
"Overall, a great experience.",1
The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0
This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,1
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
Avoid at ALL costs!  ,0
This is high adventure at its best.  ,1
-Drinks took close to 30 minutes to come out at one point.,0
It was also the right balance of war and love.  ,1
The kids are annoying.  ,0
Food arrived quickly!,1
"Nice, spicy and tender.",1
Magical Help.,1
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0
"Also, the fries are without a doubt the worst fries I've ever had.",0
Phone falls out easily.,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
This place deserves no stars.,0
"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0
"On a positive note, our server was very attentive and provided great service.",1
"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
"The service was terrible, food was mediocre.",0
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
Timely shipment and quality product.,1
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
What a waste.,0
I'm not eating here!,0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
"My father has the V265, and the battery is dying.",0
"I know this is not like the other restaurants at all, something is very off here!",0
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1
This wonderful experience made this place a must-stop whenever we are in town again.,1
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
TOTAL WASTE OF TIME.,0
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",1
The only downside is the service.,0
Awful service.,0
Also difficult to put on.I'd recommend avoiding this product.,0
"Best service and food ever, Maria our server was so good and friendly she made our day.",1
there is no real plot.  ,0
Better than expected.,1
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
The dialogue is composed of things that make little sense.  ,0
This phone is pretty sturdy and I've never had any large problems with it.,1
About ten minutes into this film I started having second thoughts.  ,0
The cashew cream sauce was bland and the vegetables were undercooked.,0
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
"OMG, the food was delicioso!",1
I've bought $5 wired headphones that sound better than these.,0
Give this one a look.  ,1
"Because both ears are occupied, background is not distracting at all.",1
Don't bother coming here.,0
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
"I've only had my bluetooth for a few weeks, but I really like it.",1
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
[...] down the drain because of a weak snap!,0
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
"I really do recommend this place, you can go wrong with this donut place!",1
Waiter was a jerk.,0
This is a great restaurant at the Mandalay Bay.,1
!I definitly recommend!!,1
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1
"too bad cause I know it's family owned, I really wanted to like this place.",0
And it was way to expensive.,0
Poor Construction.,0
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,1
Battery is holding up well.,1
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
The reception is excellent!,1
"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
"Seriously flavorful delights, folks.",1
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",0
I liked this movie way too much.  ,1
I will come back here every time I'm in Vegas.,1
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
There is not a deal good enough that would drag me into that establishment again.,0
the presentation of the food was awful.,0
I've missed numerous calls because of this reason.,0
The waitress and manager are so friendly.,1
The service was meh.,0
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1
I'm so sorry but I really can't recommend it to anyone.  ,0
So just beware.,0
"The dining space is tiny, but elegantly decorated and comfortable.",1
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",1
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
Doesn't work at all.. I bougth it for my L7c and its not working.,0
Reversible plug works great.,1
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0
"It was extremely ""crumby"" and pretty tasteless.",0
The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
Omit watching this.  ,0
"stay away from this store, be careful.",0
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
This company charge me a restocking fee and still not given me my refund back.,0
Good product - incredible value.,1
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
"The sangria was about half of a glass wine full and was $12, ridiculous.",0
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1
Food was below average.,0
It was horrible!.,0
Wow very spicy but delicious.,1
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0
It is the best charger I have seen on the market yet.,1
The mic is great.,1
It was a pale color instead of nice and char and has NO flavor.,0
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0
You cant go wrong with any of the food here.,1
Penne vodka excellent!,1
"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1
The characters are interesting and you really care for them.  ,1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
And service was super friendly.,1
The bus boy on the other hand was so rude.,0
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
There is simply no excuse for something this poorly done.  ,0
It shouldn't take 30 min for pancakes and eggs.,0
"Provides good protection and looks classy, too.",1
Battery lasts only a few hours.,0
"The lines, the cuts, the audio, everything is wrong.  ",0
Very unreliable service from T-mobile !,0
Waitress was good though!,1
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0
I waited and waited.,0
I wear glasses and it fits fine with them.,1
doesn't last long.,0
What a mistake that was!,0
"The cable looks so thin and flimsy, it is scary.",0
This movie is a good and humorous comment on life in 2006.  ,1
Delicious and I will absolutely be back!,1
The chefs were friendly and did a good job.,1
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
Bland and flavorless is a good way of describing the barely tepid meat.,0
See it.  ,1
Thank you for such great service.,1
Design Flaw?.,0
I love the fact that everything on their menu is worth it.,1
It has kept up very well.,1
"Overall, I would recommend this phone over the new Walkman.",1
"We had fantastic service, and were pleased by the atmosphere.",1
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
"There is, however, some pretty good acting (at least, for this type of film).  ",1
All of the main players are mesmerising.  ,1
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1
"The staff are great, the ambiance is great.",1
Great product for the price!.,1
"Perhaps my phone is defective, but people cannot hear me when I use this.",0
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,1
Doesn't hold charge.,0
I think this restaurant suffers from not trying hard enough.,0
I don't think I'll be running back to Carly's anytime soon for food.,0
":-)Oh, the charger seems to work fine.",1
"Plus, it's only 8 bucks.",1
